Sub-Category,Total Sales,Growth Rate,Volatility,Average Order Value,Cluster
Accessories,164186.7,145.04985737604574,2579.99480907113,217.17817460317463,0
Appliances,104618.403,165.23201366072377,1821.6215390281989,227.92680392156865,2
Art,26705.41,49.64111421583736,330.4883427284576,34.019630573248406,2
Binders,200028.785,65.77711810071808,3848.2236478754908,134.0675502680965,0
Bookcases,113813.1987,49.844110177718406,2220.4050797251753,503.5982243362832,2
Chairs,322822.731,20.954405493550464,4407.232959811409,531.8331647446457,0
Copiers,146248.094,479.68529825776614,5500.774390527093,2215.8802121212125,1
Envelopes,16128.046,-12.118192527024453,228.21868781596007,65.03244354838709,2
Fasteners,3001.96,30.421945556591513,48.74222863268981,14.02785046728972,2
Furnishings,89212.018,106.81713560931942,1360.0178672616057,95.82386466165413,2
Labels,12347.726,36.060610134663236,223.47121839221342,34.587467787114846,2
Machines,189238.631,-29.792639741799558,5603.554746739796,1645.5533130434783,3
Paper,76828.304,91.89555929715951,1024.8249818349852,57.42025710014948,2
Phones,327782.44800000003,35.55714665226477,4052.718220520821,374.1808767123287,0
Storage,219343.392,38.36532826207031,2822.0843101166624,263.6338846153846,0
Supplies,46420.308,11.275251767850454,2025.0941389159009,252.28428260869563,2
Tables,202810.628,33.07729320347338,3224.082504460717,645.8937197452229,0
